date,sea level
1978-12-31,6185.6760563380285
1979-12-31,6128.906849315069
1980-12-31,6116.650273224043
1981-12-31,6127.334246575342
1982-12-31,6129.572602739726
1983-12-31,6232.6547945205475
1984-12-31,6205.273224043716
1985-12-31,6152.498630136986
1986-12-31,6175.268493150685
1987-12-31,6212.884931506849
1988-12-31,6117.3005464480875
1989-12-31,6157.405479452054
1990-12-31,6146.147945205479
1991-12-31,6222.635616438356
1992-12-31,6210.475409836065
1993-12-31,6225.509589041096
1994-12-31,6160.7013698630135
1995-12-31,6188.104109589041
1996-12-31,6228.841530054645
1997-12-31,6248.0
1998-12-31,6281.380821917808
1999-12-31,6243.0
2000-12-31,6206.043715846995
2001-12-31,6227.208219178082
2002-12-31,6212.131506849315
2003-12-31,6244.268493150685
2004-12-31,6234.172131147541
2005-12-31,6295.956164383561
2006-12-31,6254.978082191781
2007-12-31,6223.8
2008-12-31,6244.44262295082
2009-12-31,6312.005479452055
2010-12-31,6326.81095890411
2011-12-31,6282.865753424658
2012-12-31,6369.303278688524
2013-12-31,6279.5698630136985
2014-12-31,6304.38904109589
2015-12-31,6273.583561643835
2016-12-31,6319.215846994535
2017-12-31,6315.194520547945
2018-12-31,6334.071232876712
2019-12-31,6368.276712328767
2020-12-31,6339.587431693989
2021-12-31,6335.397260273972
2022-12-31,6327.1123287671235
2023-12-31,6392.698630136986
2024-12-31,6401.087431693989
