date,sea level
1970-12-31,1077.8602739726027
1971-12-31,1098.027397260274
1972-12-31,1102.0901639344263
1973-12-31,1072.7753424657535
1974-12-31,1075.1205479452055
1975-12-31,1064.5506849315068
1976-12-31,1032.6666666666667
1977-12-31,1030.654794520548
1978-12-31,1069.3068493150686
1979-12-31,1052.2301369863014
1980-12-31,1039.4098360655737
1981-12-31,1048.7068493150684
1982-12-31,1055.6876712328767
1983-12-31,1127.0904109589042
1984-12-31,1107.7540983606557
1985-12-31,1091.5205479452054
1986-12-31,1085.1890410958904
1987-12-31,1107.4739726027397
1988-12-31,1064.811475409836
1989-12-31,1051.4712328767123
1990-12-31,1059.5753424657535
1991-12-31,1101.6328767123289
1992-12-31,1103.3715846994535
1993-12-31,1112.3917808219178
1994-12-31,1068.150684931507
1995-12-31,1101.1808219178083
1996-12-31,1150.3524590163934
1997-12-31,1147.3808219178081
1998-12-31,1170.041095890411
1999-12-31,1128.8109589041096
2000-12-31,1112.9207650273224
2001-12-31,1126.5945205479452
2002-12-31,1109.4136986301369
2003-12-31,1121.6465753424657
2004-12-31,1123.8142076502731
2005-12-31,1180.682191780822
2006-12-31,1165.8164383561643
2007-12-31,1120.2876712328766
2008-12-31,1146.2021857923498
2009-12-31,1177.5534246575342
2010-12-31,1234.2109589041097
2011-12-31,1207.2
2012-12-31,1198.6311475409836
2013-12-31,1176.0027397260274
2014-12-31,1175.731506849315
2015-12-31,1143.2082191780821
2016-12-31,1193.139344262295
2017-12-31,1207.9287671232876
2018-12-31,1204.4
2019-12-31,1241.027397260274
2020-12-31,1221.6420765027322
2021-12-31,1222.213698630137
2022-12-31,1216.317808219178
2023-12-31,1290.86301369863
2024-12-31,1288.7021857923498
