date,sea level
1970-12-31,2138.254794520548
1971-12-31,2152.068493150685
1972-12-31,2203.4781420765025
1973-12-31,2237.813698630137
1974-12-31,2237.813698630137
1975-12-31,2240.6849315068494
1976-12-31,2156.1693989071036
1977-12-31,2045.9068493150685
1978-12-31,2045.5342465753424
1979-12-31,2167.2
1980-12-31,2177.7158469945357
1981-12-31,2146.2712328767125
1982-12-31,2178.068493150685
1983-12-31,2242.504109589041
1984-12-31,2203.6448087431695
1985-12-31,2207.8876712328765
1986-12-31,2230.882191780822
1987-12-31,2203.3068493150686
1988-12-31,2175.22131147541
1989-12-31,2171.358904109589
1990-12-31,2195.0219178082193
1991-12-31,2256.1369863013697
1992-12-31,2236.2622950819673
1993-12-31,2231.413698630137
1994-12-31,2210.9013698630138
1995-12-31,2303.1835616438357
1996-12-31,2203.909836065574
1997-12-31,2265.539726027397
1998-12-31,2241.564383561644
1999-12-31,2297.0383561643835
2000-12-31,2261.44262295082
2001-12-31,2244.0246575342467
2002-12-31,2253.6767123287673
2003-12-31,2228.386301369863
2004-12-31,2216.751366120219
2005-12-31,2301.150684931507
2006-12-31,2235.7287671232875
2007-12-31,2283.246575342466
2008-12-31,2249.6338797814205
2009-12-31,2285.780821917808
2010-12-31,2256.2356164383564
2011-12-31,2265.2575342465752
2012-12-31,2298.344262295082
2013-12-31,2326.158904109589
2014-12-31,2361.0246575342467
2015-12-31,2369.6383561643834
2016-12-31,2374.907103825137
2017-12-31,2328.041095890411
2018-12-31,2318.219178082192
2019-12-31,2419.227397260274
2020-12-31,2398.969945355191
2021-12-31,2393.778082191781
2022-12-31,2437.0602739726028
2023-12-31,2465.682191780822
2024-12-31,2436.289617486339
