date,rate,lower bound,upper bound
1970-12-31,0.591413367603558,-1.763062420943632,2.945889156150748
1971-12-31,0.7428990420468314,-1.601131732165558,3.0869298162592207
1972-12-31,0.8943847164901049,-1.4392042877600402,3.22797372074025
1973-12-31,1.0458703909333784,-1.277280131474127,3.3690209133408837
1974-12-31,1.1973560653766517,-1.1153593078307775,3.510071438584081
1975-12-31,1.348841739819925,-0.9534418621458105,3.6511253417856606
1976-12-31,1.5003274142631986,-0.7915278405452935,3.792182669071691
1977-12-31,1.6518130887064721,-0.6296172899833756,3.93324346739632
1978-12-31,1.8032987631497455,-0.4677102582605923,4.074307784560084
1979-12-31,1.9547844375930188,-0.305806794042637,4.215375669228674
1980-12-31,2.1062701120362926,-0.14390694687962968,4.356447170952215
1981-12-31,2.257755786479566,0.017989232774104025,4.497522340185028
1982-12-31,2.409241460922839,0.17988169353974515,4.638601228305934
1983-12-31,2.5607271353661125,0.34177038309314467,4.779683887639081
1984-12-31,2.7122128098093863,0.503655248143442,4.920770371475331
1985-12-31,2.8636984842526596,0.6655362344111069,5.061860734094212
1986-12-31,3.015184158695933,0.8274132866054016,5.202955030786464
1987-12-31,3.1666698331392062,0.9892863484012322,5.34405331787718
1988-12-31,3.3181555075824796,1.1511553624153796,5.4851556527495795
1989-12-31,3.4696411820257533,1.313020270182086,5.626262093869421
1990-12-31,3.6211268564690267,1.4748810121279772,5.767372700810077
1991-12-31,3.7726125309123,1.6367375275463099,5.90848753427829
1992-12-31,3.9240982053555737,1.7985897545705054,6.049606656140642
1993-12-31,4.075583879798847,1.9604376301469588,6.190730129450735
1994-12-31,4.227069554242121,2.122281090007108,6.331858018477133
1995-12-31,4.378555228685394,2.284120068638716,6.472990388732072
1996-12-31,4.530040903128667,2.4459544992563726,6.6141273070009605
1997-12-31,4.68152657757194,2.607784313771161,6.75526884137272
1998-12-31,4.833012252015214,2.7696094427594833,6.896415061270945
1999-12-31,4.984497926458488,2.9314298154310108,7.0375660374859645
2000-12-31,5.135983600901762,3.09324535959573,7.178721842207793
2001-12-31,5.287469275345034,3.2550560016300607,7.319882549060006
2002-12-31,5.438954949788307,3.4168616664420126,7.461048233134602
2003-12-31,5.590440624231581,3.5786622774353405,7.602218971027822
2004-12-31,5.741926298674855,3.7404577564726886,7.743394840877022
2005-12-31,5.893411973118129,3.9022480238376724,7.884575922398585
2006-12-31,6.044897647561401,4.064032998195863,8.025762296926938
2007-12-31,6.1963833220046745,4.225812596554659,8.16695404745469
2008-12-31,6.347868996447948,4.387586734221977,8.308151258673918
2009-12-31,6.499354670891222,4.549355324763749,8.449354017018695
2010-12-31,6.650840345334496,4.711118279960178,8.590562410708813
2011-12-31,6.8023260197777695,4.872875509760714,8.731776529794825
2012-12-31,6.9538116942210415,5.034626922237694,8.87299646620439
2013-12-31,7.105297368664315,5.196372423538629,9.01422231379
2014-12-31,7.256783043107589,5.358111917837059,9.15545416837812
2015-12-31,7.408268717550863,5.519845307281954,9.296692127819771
2016-12-31,7.559754391994137,5.681572491945614,9.437936292042659
2017-12-31,7.711240066437409,5.843293369769988,9.579186763104829
2018-12-31,7.862725740880682,6.005007836511395,9.720443645249969
2019-12-31,8.014211415323956,6.166715785683569,9.861707044964344
2020-12-31,8.16569708976723,6.328417108498975,10.002977071035485
2021-12-31,8.317182764210504,6.490111693808354,10.144253834612654
2022-12-31,8.468668438653776,6.651799428038407,10.285537449269144
2023-12-31,8.62015411309705,6.8134801951275925,10.426828031066506
2024-12-31,8.771639787540323,6.975153876459922,10.568125698620724
